route_short_name,hour,speed
27,19,4.801477432250977
272,19,5.916106224060058
275,19,0.0
276E,19,3.6011079788208007
277,19,3.944070736567179
279,19,12.34665584564209
282E,19,4.287033398946127
284E,19,7.716659863789876
287,19,2.5722200075785318
28A,19,3.7480919701712474
29,19,4.287033398946126
291,19,4.3213296890258786
294E,19,14.40443229675293
296,19,3.2581453323364253
296A,19,4.629995822906494
297,19,0.0
298,19,0.0
2B,19,2.2506925016641617
3,19,1.577628294626872
30,19,2.057776008333479
30A,19,5.658884000778198
31,19,5.144440007209778
32,19,2.1220814883708954
33,19,4.051246479153633
34,19,3.772589365641276
35,19,6.173328081766765
36,19,3.0295035971535578
37,19,0.0
37A,19,2.186387002468109
38,19,6.173327863216401
39,19,2.5722200075785318
4,19,3.4982191721598306
40,19,0.0
40B,19,9.517214298248291
41,19,1.496564344926314
42,19,0.0
44,19,0.34296266237894696
45,19,6.259068648020427
46,19,5.879359994615827
47,19,2.618987625295466
49,19,0.835971474647522
5,19,2.4950534105300903
50,19,1.5862023830413818
51,19,0.0
51A,19,0.6859253247578939
52,19,2.6751088380813597
53,19,3.5153673887252808
54,19,2.657960752646128
55,19,6.044717073440552
56,19,0.7716659903526306
56A,19,1.8862946695751615
57,19,7.202216148376465
58,19,2.443609058856964
59,19,1.286110043525696
59A,19,2.7437013387680054
6,19,2.866188015256609
60,19,1.2861100435256958
61,19,1.440443229675293
62A,19,3.2409971237182615
63,19,7.373697280883789
64,19,1.2003693580627441
64A,19,0.0
65,19,0.0
65A,19,0.0
66,19,0.8574066956837972
66B,19,5.658884048461914
67,19,2.7192040341241017
68,19,2.5722200870513916
69,19,3.086664001146952
7,19,3.994506373124964
70,19,1.9291649907827377
71,19,0.5144439935684204
72,19,1.356261437589472
73,19,0.0
74,19,5.46596747636795
74A,19,8.745547771453857
75,19,1.671943038702011
76,19,1.337554359436035
77,19,3.8215839522225514
78,19,2.7437013188997903
79,19,2.7008309960365295
7E,19,2.6365255415439606
80,19,1.8005540172259014
82,19,3.98694109916687
82A,19,5.144440174102783
83,19,4.938662338256836
84E,19,4.115551869074504
85,19,3.395330512523651
85E,19,2.314997911453247
87,19,0.0
88,19,0.6859253247578939
88A,19,5.4016618728637695
89E,19,7.202216148376465
8E,19,3.846081393105643
9,19,3.2581452992227344
91,19,4.527107191085816
92,19,4.938662338256836
93,19,0.0
93A,19,3.858330011367798
94E,19,8.231104214986166
95,19,5.337356463074684
96,19,6.859253565470378
97E,19,7.496183804103306
98,19,2.9151827295621238
98E,19,0.0
99,19,3.8734606784932755
H5,19,9.305555522441864
H6,19,10.222222137451173
H7,19,2.870370407899221
H8,19,7.111111116409302
H9,19,8.333333015441895
