service_id,date,exception_type
C98506RK2HPKYM-021,20250731,1
C98507RK4SZWA-0011,20250621,1
C98507RK4VVWA-0011,20250622,1
C98512APPHF-0041,20250627,1
C98512APPHF-0041,20250704,1
C98512APPHF-0041,20250711,1
C98512APPHF-0041,20250718,1
C98512APPHF-0041,20250725,1
C98512ASZHF-0041,20250628,1
C98512ASZHF-0041,20250705,1
C98512ASZHF-0041,20250712,1
C98512ASZHF-0041,20250719,1
C98512ASZHF-0041,20250726,1
C98513ASZHF-0041,20250621,1
C98513ASZHF-0041,20250628,1
C98513ASZHF-0041,20250705,1
C98513ASZHF-0041,20250712,1
C98513ASZHF-0041,20250719,1
C98513ASZHF-0041,20250726,1
C98513AVVHF-0041,20250615,1
C98513AVVHF-0041,20250622,1
C98513AVVHF-0041,20250629,1
C98513AVVHF-0041,20250706,1
C98513AVVHF-0041,20250713,1
C98513AVVHF-0041,20250720,1
C98513AVVHF-0041,20250727,1
C98517AHCRG-0071,20250616,1
C98517AHCRG-0071,20250617,1
C98517AHCRG-0071,20250618,1
C98517AHCRG-0071,20250619,1
C98518K1HCTN-0011,20250623,1
C98518K1HCTN-0011,20250624,1
C98518K1HCTN-0011,20250625,1
C98518K1HCTN-0011,20250626,1
C98519K1PPTN-0011,20250627,1
C98530APPRG-0071,20250620,1
C98531RK3HPKYM-011,20250623,1
C98531RK3HPKYM-011,20250624,1
C98531RK3HPKYM-011,20250625,1
C98531RK3HPKYM-011,20250626,1
C98531RK3HPKYM-011,20250627,1
C98531RK3HPKYM-011,20250630,1
C98531RK3HPKYM-011,20250701,1
C98531RK3HPKYM-011,20250702,1
C98531RK3HPKYM-011,20250703,1
C98531RK3HPKYM-011,20250704,1
C98531RK3HPKYM-011,20250707,1
C98531RK3HPKYM-011,20250708,1
C98531RK3HPKYM-011,20250709,1
C98531RK3HPKYM-011,20250710,1
C98531RK3HPKYM-011,20250711,1
C98531RK3HPKYM-011,20250714,1
C98535RAAVVLE-0041,20250622,1
C98539K1HPKG-1031,20250623,1
C98539K1HPKG-1031,20250624,1
C98539K1HPKG-1031,20250625,1
C98539K1HPKG-1031,20250626,1
C98539K1HPKG-1031,20250627,1
C98544AHCMAA-121,20250616,1
C98544AHCMAA-121,20250617,1
C98544AHCMAA-121,20250618,1
C98544AHCMAA-121,20250619,1
C98546APPMAA-121,20250620,1
